拟 声 词 大 全
    【定义】拟声词又称为象声词、摹声词、状声词。它是摹拟自然界声音的一种词汇。在汉语里，它只是汉字当成“音标”符号，用来表音，而和字义无关。在文章中用到象声词时，一般都要使用双引号。如摹仿流水声的“潺潺”，摹仿布谷鸟叫声的“布谷”。准确地使用象声词，将会使我们说话、习文的生动性、形象性大大增强。
    【作用】运用拟声词可以使描写生动逼真，使人如闻其声，如入其境；运用拟声词还可以形象地描摹人物的心情或情绪。
    【运用】1、因人而异，拟声词的选用要充分体现人物的个性特征，不同年龄、不同性别、不同身份不同性格的人往往采用不同的拟声词。2、因情而异，拟声词对人物感情的描绘有其独特作用，例如人们的笑声就可以分好多种，有微笑、欢笑、大笑、讥笑、讪笑、冷笑、苦笑等等；哭声也有好多种，有抽泣、大哭、哭嚎等。运用不同的拟声词便能准确地把这些带有不同感情的笑或哭等声音描绘出来。3、因境而异，客观环境（包括时、地）的不同或变化也是选用拟声词是要注意的因素，否则就不可能真实地描绘出独特的环境。4、因物而异，不同的东西发出的声音也不相同。拖拉机的声音是“突突突突”的，独轮车是吱吱呀呀，猫叫声是“喵喵”的，狗叫声是“汪汪”的。
词语	拟声类别	词类	释义
咪呜咪呜	【畜声】	　	如：小猫咪呜咪呜地叫。
喵	【畜声】	象声词	形容猫叫的声音。
喵喵	【畜声】	　	用来写猫叫的声音。 
喵呜	【畜声】	AB型	形容猫叫的声音。
嘶	【畜声】	　	马鸣、虫幽咽凄切叫声
嘶嘶	【畜声】	AA型	　
嘶噪	【畜声】	　	马鸣声
汪	【畜声】	象声词	形容狗叫的声音。
汪汪	【畜声】	AA型	用来写狗的叫声。 
萧萧	【畜声】	象声词	形容马叫声，如：马鸣萧萧。
狺狺（yinyin）	【畜声】	　	象声词，狗叫的声音
嗷呜	【动物叫声】	　	老虎
笃笃,呱呱	【动物叫声】	　	青蛙
哮、嗥	【动物叫声】	　	兽吼叫
咿咿	【动物叫声】	　	虫叫、豚鸣
咿呦	【动物叫声】	　	山鹿叫
呦呦	【动物叫声】	　	鹿叫
吱[zī]	【动物叫声】	象声词	多形容小动物的叫声。如：老鼠吱吱地叫。
知了	【动物叫声】	AB型	知了叫声
知了知了	【动物叫声】	AB型	知了叫声
呼	【风声】	　	用来写风声。 
呼呼	【风声】	象声词	如：北风呼呼地吹。
飒飒	【风声】	　	风吹动树枝叶声
瑟瑟	【风声】	AA型	用来写轻微的声音，如：秋风瑟瑟。
瑟瑟	【风声】	　	不大的寒风声
飕飕（shoushou）	【风声】	　	形容风声
呜呜	【风声】	AA型	用来写风声、汽笛声。
萧萧	【风声】	象声词	形容风声淅[xī]沥[lì]等。
趵[bō]趵	【行路声】	象声词	形容脚踏地的声音。
趵趵	【行路声】	　	脚踏地声音
跛塌跛蹋	【行路声】	象声词	形容人走路的声音
刺[cī]	【行路声】	象声词	刺的一声，滑了一个跟头。
登登	【行路声】	象声词	脚踏楼板声
噔	【行路声】	象声词	皮鞋声
蹬蹬蹬	【行路声】	象声词	形容人走路的声音
咚咚咚	【行路声】	象声词	形容人走路的声音
咯噔	【行路声】	象声词	咯噔的皮靴声。
咯噔	【行路声】	　	皮鞋声
咯咯	【行路声】	AA型	如：咯咯的皮鞋声。
呱呱	【行路声】	　	如：很远就听到了呱呱的木拖鞋声。
黑此 	【行路声】	　	雨天在泥水里走路的声音
咵咵咵	【行路声】	象声词	形容人走路的声音
嗵[tōng]	【行路声】	象声词	如：他嗵嗵地往前走。
橐[tuó]	【行路声】	象声词	橐橐的皮鞋声。
嚓	【机车声】	　	如：车子嚓的一声站住了。
嘀嘀	【机车声】	AA型	形容小轿车的喇叭声
滴滴	【机车声】	AA型	形容小轿车的喇叭声
嘟	【机车声】	象声词	汽车喇叭嘟地响了一声。
嘟嘟	【机车声】	AA型	如：喇叭嘟嘟响。
嘎[gā]	【机车声】	象声词	形容短促而响亮的声音。如汽车嘎的一声刹住了。
圪当 	【机车声】	　	铁轮马车的响声
咕隆	【机车声】	　	大车声
呼呼	【机车声】	AA型	飞机螺旋桨转动
辘辘	【机车声】	象声词	形容车轮声。
嗖[sōu]	【机车声】	象声词	形容很快通过的声音，如：那辆汽车嗖的一声开过去了。
突突	【机车声】	象声词	如：摩托车突突地响。
呜	【机车声】	象声词	鸣笛声。如：呜的一声，一辆汽车飞驰过去。又汽笛呜呜地叫。
呜呜	【机车声】	AA型	汽笛或喇叭声
当	【金属声】	象声词	撞击金属器物的声音。
当当	【金属声】	象声词	形容金属的响声
当当当当	【金属声】	AAAA型	　
当啷	【金属声】	象声词	金属磕碰声
铛[dāng]	【金属声】	象声词	撞击金属器物的声音。
铛铛	【金属声】	象声词	用来写金属撞击的声音。
丁当	【金属声】	象声词	或称“叮当”，形容金属、瓷器等撞击的声音。
丁咚	【金属声】	AB型	或丁东，形容金属等撞击的声音。
丁铃当郎	【金属声】	ABCD型	金属、瓷器连续撞击声
丁零当啷	【金属声】	　	金属、瓷器连续撞击声
叮铃当啷	【金属声】	ABCD型	　
叮零咚隆	【金属声】	ABCD型	　
黑郎 	【金属声】	　	摇铜铃时的响声
哕哕（yueyue）	【金属声】	　	和谐的铃声
哐[kuāng]	【金属声】	象声词	器物撞击震动的声音，如：哐的一声，脸盆掉在地上了。
琅琅	【金属声】	象声词	金石相击的声音等。
铃铃	【金属声】	AA型	如：“铃铃”上课的铃声响了
锵	【金属声】	象声词	形容撞击金属器物的声音，如：锣声锵锵。
锵不隆锵	【金属声】	ABCA型	　
铮	【金属声】	象声词	金属撞击的声音，如：铮然作声、铁中铮铮（比喻胜过一般人的人）。
噗（pū）噜噜	【哭声】	　	用来写泪珠一个劲往下掉。
哇	【哭声】	　	如：哇的一声大哭起来。
哇哇	【哭声】	AA型	如：哇哇地哭。
咕隆	【雷声】	　	用来写雷声、大车声。
轰隆	【雷声】	象声词	形容雷声。如：轰隆，打了一声雷。(或隆或轰轰)
轰隆轰隆	【雷声】	ABAB型	形容雷声。
忽笼 	【雷声】	　	打雷时的响声
隆隆	【雷声】	象声词	形容剧烈震动的声音，如：雷声隆隆。
殷	【雷声】	象声词	形容雷声，如：殷其雷。
冬	【锣鼓声】	象声词	或咚，形容敲鼓等声音。
咚得隆咚	【锣鼓声】	ABCA型	形容敲鼓等声音。
咚咚	【锣鼓声】	AA型	用来写敲鼓和敲门的声音。
咚咚锵	【锣鼓声】	AAB型	形容敲鼓、击锣等声音。
喈喈（钟鼓和谐）	【锣鼓声】	　	形容鼓声
镗镗	【锣鼓声】	　	如：镗镗的锣声把我惊醒了。
鼟（teng）	【锣鼓声】	　	象声词，形容鼓声
咽咽（节奏鼓声）	【锣鼓声】	　	形容鼓声
吧唧	【落地击打声】	　	用来写脚掌拍打泥泞地面等的声音。
嘣嘣	【落地击打声】	　	用来写跳动或爆裂的声音。
卜登 	【落地击打声】	　	从床上掉下来时的响声
噔[dēng]	【落地击打声】	象声词	沉重的东西落地或撞击物体的声音。
噔噔	【落地击打声】	象声词	重东西落地的声音
丁丁（zhengzheng）	【落地击打声】	象声词	形容伐木、下棋、弹琴的声音
叮当	【落地击打声】	AB型	用来写金属、瓷器、玉饰等撞击的声音。如：叮当乱响。
叮当叮当	【落地击打声】	ABAB型	　
叮叮当	【落地击打声】	AAB型	　
叮咚	【落地击打声】	　	用来写玉石、金属等撞击或水滴落的声音。
玎玲	【落地击打声】	　	用来写金属、玉石等撞击的声音。
咚	【落地击打声】	　	器物扎压声音
嘎[gā]吱	【落地击打声】	象声词	形容物件受压力或断裂而发出的声音。如：嘎吱一声，把棍子折断了。
嘎吱	【落地击打声】	　	用来写物体断裂的声音。
咕咚	【落地击打声】	　	用来写重东西落下或大口喝水的声音。 如：咕咚一声倒了下去。
咕噜	【落地击打声】	象声词	东西滚动的声音。如：大石头咕噜滚下山去。
呱嗒	【落地击打声】	　	用来写清脆、短促的撞击声。如：地是冻硬的，走起来呱嗒地响。
忽初（吃） 	【落地击打声】	　	陷进泥里的响声
忽通 	【落地击打声】	　	房屋倒塌的响声
哗（哗）	【落地击打声】	象声词	用来写撞击的声音。如：铁门哗的一声拉上了。
哗啦	【落地击打声】	象声词	东西倾倒声。如：哗啦一声，墙倒了。也可以说哗啦啦。
叽里咕噜	【落地击打声】	象声词	形容物体滚动的声音，如：石头叽里咕噜滚下山去。
咔[kǎ]	【落地击打声】	象声词	用来写器物清脆的撞击声。如：咔的一声关上抽屉。
咔吧	【落地击打声】	　	用来写物体断裂的声音。
咔嚓	【落地击打声】	　	用来写物体断裂的声音。
咔嗒	【落地击打声】	　	用来写物体轻微的碰撞声。
哐[kuāng]啷	【落地击打声】	象声词	器物撞击的声音。如：哐啷的一声把锅掉在地上。
玲玲	【落地击打声】	　	用来写金属、玉石等撞击的声音。
珑璁（cōnɡ）	【落地击打声】	　	用来写金属、玉石等撞击的声音。
珑玲	【落地击打声】	　	用来写金属、玉石等撞击的声音。
呕哑	【落地击打声】	　	器物扎压声音
啪嚓	【落地击打声】	象声词	用来写东西落地、撞击或器物碰碎的声音。如：啪嚓一声，碗掉在地上碎了。
啪嗒	【落地击打声】	AB型	用来写东西落地、撞击或器物碰碎的声音。
啪啪	【落地击打声】	AA型	用来写放枪、拍掌、或东西撞击等声音。如：鞭子甩得啪啪地响。
砰	【落地击打声】	象声词	形容撞击或重物落地的声音，如：砰的一声，木板倒下来了。
砰砰	【落地击打声】	　	用来写撞击或重物落地的声音。
嘭	【落地击打声】	　	用来写敲门、器物撞击等的声音。
嘭嘭	【落地击打声】	　	用来写敲门、器物撞击等的声音。
扑腾	【落地击打声】	象声词	用来写重物落地的声音。
扑通	【落地击打声】	象声词	重物落地声
嗵（tong）	【落地击打声】	　	象声词
铮铮	【落地击打声】	　	象声词，金属撞击所发出的响亮的声音。如：宝剑铮铮作响。
吧嗒	【门声】	　	脆响的（关门）声。如：吧嗒的一声，门关上了。
梆梆	【门声】	　	敲打木门声
冬	【门声】	象声词	或咚，形容敲门等声音。
咚咚	【门声】	AA型	鼓声、敲门声
呱哒	【门声】	　	如：呱哒，风把门吹开了。
咣[guāng]	【门声】	象声词	形容撞击振动的声音。如：咣的一声，关上了大门。
咣当	【门声】	　	门开的声音
咔	【门声】	　	门开的声音
叩阍	【门声】	　	叩、敲门
哐当	【门声】	　	门开的声音
呕轧	【门声】	　	门开的声音
乓	【门声】	象声词	形容关门声等。
嘭[pēng]	【门声】	象声词	如：一阵嘭嘭的敲门声。
呀	【门声】	象声词	惊叹声或门的响声。如：门呀的一声开了。
咿轧	【门声】	　	门开的声音
吱喽	【门声】	AA型	门开的声音
奥.奥.奥	【鸟声】	　	画眉摆头并叫起来，表示威胁。
布谷	【鸟声】	AB型	是摹仿布谷鸟的叫声似“布谷”。
嘲哳	【鸟声】	　	　
嘟嘟嘟	【鸟声】	AAA型	红胸啄木鸟的连续像敲木的声音。
呷呷	【鸟声】	AA型	　
嘎[gā]嘎	【鸟声】	象声词	形容大雁等的叫声，也作呷呷。
嘎—叽	【鸟声】	　	如果鸟没有立毛，表示想叫有不敢叫出来；如果鸟立毛了，表示鸟已经怕到了极点。
咕[gū]	【鸟声】	象声词	形容斑鸠等的叫声。
咕哚	【鸟声】	AB型	斑头绿啄木鸟的大声连续的叫声。
咕咕	【鸟声】	AA型	如：布谷鸟咕咕的叫个不停。
咕咕姑	【鸟声】	　	珠颈斑鸠的叫声，第三声较重且拉长。
谷.谷.谷	【鸟声】	　	画眉并尾巴上下摆动表示我想要个女孩的声音；并在原地打圈或在栖棒上摆头是在说这地方是我的。当心我咬你哦。
砉[huā]	【鸟声】	象声词	用来写迅速动作的声音。如：乌鸦砉的一声从树上飞起来。 
咴儿	【鸟声】	　	　
叽	【鸟声】	象声词	如：小鸟叽叽叫。
哜哜	【鸟声】	　	　
戛然	【鸟声】	象声词	多形容嘹亮的鸟声，如：戛然长鸣。
噍噍	【鸟声】	　	　
啾[jiū]啾	【鸟声】	象声词	形容许多小鸟一齐叫的声音，也形容凄厉的叫声。
啾[jiū]啾	【鸟声】	　	形容许多小鸟一齐叫的声音，也形容凄厉的叫声。
啾唧	【鸟声】	AA型	用来写虫、鸟等细碎的叫声。
啾啾	【鸟声】	AA型	用来写许多小鸟一起叫的声音。如：小鸟啾啾地叫。
科.科.科	【鸟声】	　	画眉连续叫表示害怕示弱。
可恶可恶	【鸟声】	　	噪娟雄鸟的声音
苦恶苦恶	【鸟声】	　	白胸苦恶鸟的警告声，连续性，另一种叫声是“ruak-ruak-ruak-ruak-ruak”
呖[lì]呖	【鸟声】	象声词	形容鸟类清脆的叫声，如莺声呖呖。
唳	【鸟声】	　	　
喃	【鸟声】	　	　
呢喃	【鸟声】	AB型	　
呕哑	【鸟声】	　	　
扑棱	【鸟声】	象声词	形容翅膀抖动的声音，如：扑棱一声，飞起一只水鸟。
秋.秋	【鸟声】	　	画眉提醒我害怕的声音
唼喋（shazha）	【鸟声】	　	形容成群的鱼儿和鸟等吃东西的声音
刷啦	【鸟声】	象声词	形容迅速擦过去的短促的声音，如：刷啦一声，柳树上飞走了一只鸟儿。
忒[tēi]儿	【鸟声】	象声词	（方）形容鸟急促地振动翅膀的声音，如：麻雀忒儿一声就飞了。
哇哇、咻咻、哑哑	【鸟声】	　	形容乌鸦叫声。
娃.娃	【鸟声】	　	画眉提醒同类有危险的声音
呜.呜.呜	【鸟声】	　	画眉并张开双翅，是在说我要打架。并张开双翅并叫着，那是它在说我爱你，见到你真高兴。它见到母鸟也会有此动作的。
萧萧	【鸟声】	　	形容鸟叫声
哑	【鸟声】	象声词	哑哑，形容乌鸦叫声。
哑咤	【鸟声】	　	　
咬咬	【鸟声】	　	　
喑	【鸟声】	　	　
嘤[yíng]嘤	【鸟声】	AA型	形容鸟叫声。
邕邕（yongyong）	【鸟声】	　	象声词，形容鸟叫声
雝雝	【鸟声】	AA型	　
喁喁	【鸟声】	　	　
啧啧	【鸟声】	AA型	　
唶唶	【鸟声】	AA型	　
喳[zhā]	【鸟声】	象声词	如：喜鹊喳喳地叫。
喳喳	【鸟声】	AA型	用来写鸟叫的声音，如：喜鹊喳喳地叫。 
啁[zhōu]啾[jiū]	【鸟声】	象声词	形容鸟叫的声音。
啁哳	【鸟声】	　	　
啭	【鸟声】	　	鸟婉转地叫
唉（ǎi）乃	【其它声音】	　	摇橹的声音，划船时歌唱的声音。 
毕毕剥剥	【其它声音】	AABB型	　
哔哔剥剥	【其它声音】	AABB型	　
哔里哔里	【其它声音】	ABAB型	　
嘈	【其它声音】	象声词	声音杂乱。
噌	【其它声音】	象声词	如麻雀噌的一声飞了。又如：噌的一声，划着了火柴。
嚓	【其它声音】	象声词	如：喀嚓、啪嚓。
嚓嘎嚓嘎	【其它声音】	AABB型	　
哧[chī]哧	【其它声音】	象声词	如：哧的一声撕下一块布。
哧溜	【其它声音】	AB型	　
初初底	【其它声音】	　	汤类溢出，汤水扑火声
当郎当郎	【其它声音】	ABAB型	　
叨叨	【其它声音】	AA型	　
得得	【其它声音】	AA型	　
噔	【其它声音】	　	如：噔，不知什么东西落了下来。
嘎吧嘎吧	【其它声音】	　	如：木板压得嘎吧嘎吧直响。
圪崩 	【其它声音】	　	绳子断了的响声
圪答 	【其它声音】	　	开锅煮鸡蛋的响声
圪支	【其它声音】	　	挑东西时扁担的响声
咯噔	【其它声音】	　	如：他忽然听到后屋里咯噔响了一声。
咯吱	【其它声音】	象声词	如：扁担压得咯吱地直响。
咯吱咯吱	【其它声音】	ABAB型	如：扁担压得咯吱咯吱直响。
呱[guā]呱	【其它声音】	象声词	形容青蛙等的响亮叫声。
黑此 	【其它声音】	　	锁门时的响声
訇訇	【其它声音】	AA型	　
呼啦	【其它声音】	象声词	或呼喇，如：红旗被风吹得呼啦地响。也可以说呼啦啦。
忽唰 	【其它声音】	　	抖动纸时的响声
忽塌 	【其它声音】	　	煽风箱的响声
霍[huò]霍	【其它声音】	象声词	如：磨刀霍霍。
喀[kā]吧	【其它声音】	象声词	用来写物体断裂的声音。喀吧一声，棍子搠成两截，也作咔吧。
喀嚓	【其它声音】	象声词	他手起刀落，只听得“咔嚓”一声，人头落地。
喀嚓	【其它声音】	　	物体受压
喀哒	【其它声音】	象声词	喀哒一声，放下了电话筒，也作咔哒。
喀嗒	【其它声音】	AB型	　
卡拉卡拉	【其它声音】	ABAB型	收音机等频道受干扰时发出的声音。
坷啪 	【其它声音】	　	炒豆子的响声
铿	【其它声音】	象声词	形容响亮的声音。
冽冽	【其它声音】	AA型	　
烈烈	【其它声音】	AA型	火焰炽盛的样子
隆隆	【其它声音】	AA型	用来写剧烈震动的声音，雷声、爆炸声、机器声。如：雷声隆隆，炮声隆隆。
啪拉啪拉	【其它声音】	ABAB型	柴草着火时的声音。
劈劈啦啦	【其它声音】	AABB型	　
噼里啪啦	【其它声音】	　	火燃柴的声音
噼啪	【其它声音】	　	火燃柴的声音
霹哩叭啦	【其它声音】	ABCD型	　
辟里啪拉	【其它声音】	ABCD型	　
乒	【其它声音】	　	象声词，枪声、关门声、东西砸破声
乒乓	【其它声音】	象声词	如：雹子打在屋顶上乒乓乱响。
乒乒乓乓	【其它声音】	AABB型	　
扑哧	【其它声音】	象声词	又噗嗤，形容气挤出的声音，如：扑哧，皮球撒了气。
扑此 	【其它声音】	　	放气时的响声
扑此 	【其它声音】	　	书本落地时的响声
扑拉 	【其它声音】	　	树枝刮衣服的响声
朴隆朴隆	【其它声音】	ABAB型	　
唭里硿咙	【其它声音】	ABCD型	　
飒飒	【其它声音】	　	用来写踩着沙子、飞沙击物或风吹草木等的声音。 
沙沙	【其它声音】	AA型	用来写踩着沙子、飞沙击物或风吹草木等的声音。
唰拉唰拉	【其它声音】	ABAB型	用来写拨开芦苇、高粱秸等发出的声音
嗖嗖	【其它声音】	AA型	形容机车、枪弹等很快通过的声音。
通通扑	【其它声音】	AAB型	　
嗵[tōng]	【其它声音】	象声词	如：心嗵嗵直跳。
唏哩哗啦	【其它声音】	ABCD型	用来写雨声、建筑物倒塌的声音。
淅沥	【其它声音】	　	用来写轻微的风、雨、雪等声音。
淅沥沥沥	【其它声音】	ABBB型	用来写轻微的风、雨、雪等声音。
淅沥淅沥	【其它声音】	ABAB型	用来写轻微的风、雨、雪等声音。
淅淅	【其它声音】	AA型	用来写轻微的风声、雨声、落叶声等。
稀里哗啦	【其它声音】	　	用来写雨声、建筑物倒塌的声音。
嘐嘐	【其它声音】	AA型	　
晓哓	【其它声音】	AA型	　
呴呴	【其它声音】	AA型	　
轩轩	【其它声音】	AA型	　
咿[yī]哑	【其它声音】	象声词	或咿呀，形容摇桨的声音。
咿喔	【其它声音】	　	摇橹的声音，划船时歌唱的声音
咿哑	【其它声音】	　	摇橹的声音，划船时歌唱的声音
轧[yà]	【其它声音】	象声词	形容机器开动时发出声音，如：缝纫机轧轧轧地响着。
吱[zhī]	【其它声音】	象声词	如：嘎吱、咯吱。
吱咕吱	【其它声音】	ABA型	　
吱吱	【其它声音】	AA型	用来写某些尖细的声音，如老鼠在吱吱地叫，车吱的一声停住了。
滋滋	【其它声音】	AA型	油在锅里
嘣	【枪弹声】	象声词	用来写枪弹在空中很快飞过的声音。如：子弹咝咝咝地从头顶上飞过。
哒	【枪弹声】	　	用来写枪弹在空中很快飞过的声音。如：子弹咝咝咝地从头顶上飞过。
嗒[dā]嗒	【枪弹声】	象声词	如：机枪嗒嗒地响着。
嗒嗒	【枪弹声】	象声词	形容机关枪的射击声。
达达达	【枪弹声】	AAA型	形容机关枪的射击声。
答答	【枪弹声】	AA型	形容机关枪的射击声。
格格	【枪弹声】	象声词	形容机关枪的射击声。
骨东 	【枪弹声】	　	大炮的响声
啪	【枪弹声】	象声词	形容放枪等声音。
乓	【枪弹声】	象声词	形容枪声等。如：乓的一声枪响，惊得我出了一身冷汗。
劈啪	【枪弹声】	象声词	又噼啪，形容拍打或爆裂的声音，如：不远处传来了劈啪的枪声。
乒	【枪弹声】	象声词	如：乒的一声枪响。
噗	【枪弹声】	象声词	如：子弹把尘土打得噗噗直冒烟。
唰	【枪弹声】	　	用来写枪弹在空中很快飞过的声音。如：子弹唰唰唰地从头顶上飞过。
咝	【枪弹声】	象声词	用来写枪弹在空中很快飞过的声音。如：子弹咝咝咝地从头顶上飞过。
咝	【枪弹声】	象声词	形容炮弹、枪弹等在空中很快飞过的声音，如：子弹咝咝咝地从头顶上飞过。
咝咝	【枪弹声】	　	用来写枪弹在空中很快飞过的声音。如：子弹咝咝咝地从头顶上飞过。 
嗖	【枪弹声】	　	用来写枪弹在空中很快飞过的声音。如：子弹咝咝咝地从头顶上飞过。
嘎[gā]嘎	【禽声】	象声词	形容鸭子叫声。也作呷呷。
圪差 	【禽声】	　	母鸡下蛋后的叫声
咯嗒	【禽声】	　	用来写母鸡的声音
咯咯嗒	【禽声】	　	用来写母鸡下蛋的声音
咕[gū]	【禽声】	象声词	母鸡的叫声。
呱[guā]呱	【禽声】	象声词	形容鸭子的响亮叫声。
呱呱	【禽声】	　	用来写鸭子、青蛙等的响亮的叫声。
黑擦 	【禽声】	　	猪吃食儿的声音
叽叽	【禽声】	AA型	用来写小鸡、小鸟的叫声。
唧唧、叽叽	【禽声】	　	小鸡
蛮蛮	【禽声】	AA型	形容牛叫的声音。
咩[miē]	【禽声】	象声词	形容羊叫的声音。
咩咩	【禽声】	AA型	形容羊叫的声音。
哞[mōu]	【禽声】	象声词	形容牛叫的声音。
哞哞	【禽声】	　	形容牛叫的声音。
喔	【禽声】	象声词	形容公鸡叫的声音。
喔喔	【禽声】	AA型	用来写公鸡的声音。
喔喔啼	【禽声】	　	伸颈的雄鸡
咿喔、喔	【禽声】	　	鸡叫
嗌嗌	【人声】	　	笑声
嗷嗷	【人声】	AA型	（书）哀号声。
嗷嗷	【人声】	AA型	如：嗷嗷叫得使人心惊。[北京话]
吧	【人声】	象声词	　
吧嗒	【人声】	　	砸嘴声
吧唧	【人声】	　	砸嘴声
崩崩	【人声】	AA型	如：心里崩崩直跳。
卜通卜通	【人声】	ABAB型	心急跳的声音。如：她的心在扑通扑通地跳动。
吃吃	【人声】	　	笑声
叱咄	【人声】	AB型	大声呼喝
叱嗟	【人声】	AB型	怒斥声、鄙斥声
叱咤	【人声】	AB型	怒斥声、鄙斥声
抽抽搭搭	【人声】	AABB型	形容低声哭泣。 
得[dei]儿驾	【人声】	ABC型	喊马、驴等的声音
喋喋	【人声】	AA型	　
嘟嘟囔囔	【人声】	AABB型	　
嘟噜嘟噜	【人声】	ABAB型	　
咄	【人声】	　	怒斥声、鄙斥声
咄嗟	【人声】	　	怒斥声、鄙斥声
呃	【人声】	　	答应声
啡	【人声】	　	怒斥声、鄙斥声
圪登 	【人声】	　	下楼梯的脚步声
圪低 	【人声】	　	清脆的笑声
圪喽 	【人声】	　	打饱嗝儿的响声
格格	【人声】	象声词	形容笑声，如：他格格地笑着。
咕咚咕咚	【人声】	ABAB型	大口喝水的声音。如：他咕咚咕咚地喝了一大碗水。
咕嘟	【人声】	象声词	大口喝水的声音。如：他咕嘟地喝了大碗水。
咕唧	【人声】	　	用来写小声交谈或自言自语。
咕噜	【人声】	象声词	如：他端起一杯水咕噜一口就喝完了。
咕噜咕噜	【人声】	ABAB型	如：肚子里咕噜咕噜直响。
咕哝	【人声】	象声词	小声说话声，多指自言自语。
骨骨鲁	【人声】	　	肚子里的响声
呱呱	【人声】	AA型	婴儿语声
呱呱[gū]	【哭声】	象声词	小儿哭声。
呱呱呱	【哭声】	AAA型	　
呱唧	【人声】	　	用来写鼓掌等的声音。
杭育	【人声】	象声词	群体重体力劳动时呼喊声音。
哼哼	【人声】	AA型	用来写小声自言自语。
哼唧	【人声】	　	用来写小声交谈或自言自语。
哄	【人声】	象声词	形容许多人大笑声或喧哗声。
呼哧	【人声】	象声词	或呼蚩，形容喘息的声音。
呼哧	【人声】	　	用来写喘息的声音。
呼噜	【人声】	象声词	用来写打鼾或吸食流质食物发出的声音。如：他喉咙里呼噜地老响。也说呼噜噜。
呼噜呼噜	【人声】	ABAB型	用来写打鼾或吸食流质食物发出的声音。
忽速 	【人声】	　	心脏跳动的响声
嚯[huò]嚯	【人声】	象声词	嚯嚯一笑。
叽叽嘎嘎	【人声】	　	用来写说笑声。
叽叽呱呱	【人声】	AABB型	用来写嘈杂的说话声。
叽叽喳喳	【人声】	AABB型	用来写嘈杂的说话声或鸟的叫声。
叽里咕噜	【人声】	象声词	形容说话别人听不清楚或听不懂，如：他俩叽里咕噜地说了半天。
叽里呱啦	【人声】	ABCD型	用来写大声说话的声音。
咭咭	【人声】	　	用来写小声交谈或自言自语。
唧[jī]	【人声】	象声词	如：唧咕，形容小声说话；唧哝，也形容小声说话。
哜哜嘈嘈	【人声】	　	说话急而乱的声音
叫呶	【人声】	　	叫嚣声
喀[kā]	【人声】	象声词	用来写呕吐、咳嗽的声音。
吭哧	【人声】	　	用力不自主发出的声音
琅琅	【人声】	象声词	形容响亮的读书声音等。
朗朗	【人声】	象声词	形容读书的声音，如：书声琅琅。
唠唠叨叨	【人声】	AABB型	　
嘞	【人声】	　	答应声
哩哩罗罗	【人声】	　	形容说话罗嗦不清楚
喽	【人声】	　	答应声
呒	【人声】	　	答应声
呣	【人声】	　	答应声
喃喃	【人声】	象声词	连续不断地小声说话的声音，如：喃喃自语。
喃喃喃	【人声】	AAA型	　
呶呶	【人声】	　	形容说话没完没了让人讨厌
嗫嚅	【人声】	　	形容想说话又吞吞吐吐不敢说的样子
